date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,device_type,operating_system,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,BpzzHEqc5UY,on_demand,subscribed,IN,104,4,2,1.8416666666666666,55.25,0.74370709382151035,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,l8NCH6746b4,on_demand,not_subscribed,IN,104,4,1,0.26833333333333331,16.1,0.5331125827814569,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,9_VmWS0JaIg,live,subscribed,IN,102,4,1,0.4335,26.01,0.98299319727891155,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,RZKE4dZXjyo,live,not_subscribed,KW,104,4,1,0.38166666666666665,22.9,0.53355079217148182,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,on_demand,subscribed,IN,104,4,1,0.053333333333333337,3.2,0.046728971962616821,1,0.053333333333333337
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,V97hP6s56qI,on_demand,subscribed,IN,101,2,1,34.2931,2057.586,58.654104903078675,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,bMqVJHbD-0Q,on_demand,not_subscribed,IN,104,4,7,38.07165,326.32842857142856,6.7970928675573541,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,a68AZYVb4cs,live,not_subscribed,IN,101,2,4,29.179516666666668,437.69275,17.592152331189709,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,a68AZYVb4cs,live,subscribed,IN,105,4,1,24.25,1455,58.480707395498392,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,a68AZYVb4cs,live,subscribed,IN,104,4,45,322.41583333333335,429.88777777777779,17.278447659878527,1,1.1316666666666666
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,1dbiNX6VYqA,on_demand,not_subscribed,IN,104,5,1,0.11583333333333333,6.95,0.25300327630141972,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,FNGsfWcr5JA,on_demand,not_subscribed,IN,101,9,1,0.36483333333333334,21.89,0.30243161094224924,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,onrdU8yrOxI,on_demand,not_subscribed,IN,104,4,1,0.24,14.4,0.63352397712274522,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,a68AZYVb4cs,on_demand,not_subscribed,IN,101,9,1,1.5042833333333334,90.257,3.6276929260450159,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,M5WPmgviL5A,on_demand,not_subscribed,IN,104,4,2,0.03,0.9,0.025832376578645237,0,0
