date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,playback_location_detail,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,96Y60ApvosA,on_demand,not_subscribed,IN,0,unknown,1,0.081666666666666665,4.9,0.35792549306062821,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,2icgivhWB0U,on_demand,subscribed,IN,0,unknown,24,46.390383333333332,115.97595833333332,3.0092360750735168,12,27.260416666666668
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,NA_-2wpSdrY,live,not_subscribed,IN,0,unknown,2,0.21666666666666667,6.5,0.17711171662125341,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,IDeR06ieouo,on_demand,not_subscribed,IN,10,unknown,1,0.36833333333333335,22.1,88.4,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,NA_-2wpSdrY,on_demand,not_subscribed,IN,0,unknown,3,0.495,9.9,0.26975476839237056,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,MXAyMQAapBg,on_demand,subscribed,IN,0,unknown,1,1.0816666666666668,64.9,0.86683584880459463,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,Luh-jZZ8loE,on_demand,subscribed,IN,0,unknown,2,18.448333333333334,553.45,20.666542195668409,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,jQLnLFjQ-EU,on_demand,not_subscribed,IN,10,unknown,10,5.4233333333333329,32.54,87.945945945945951,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,CcVFLb04QmI,on_demand,not_subscribed,IN,2,UC7zbbglcdBEvi9C3W_K7DCQ,4,2.1023166666666668,31.53475,0.83447340566287376,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,lSPKZ8XnGcI,on_demand,not_subscribed,IN,0,unknown,1,0.11666666666666667,7,0.19762845849802371,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,CcVFLb04QmI,on_demand,not_subscribed,IN,0,unknown,3,0.71833333333333338,14.366666666666667,0.38017112110787687,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,xOB7XrJOHVw,on_demand,subscribed,IN,0,unknown,1,0.07166666666666667,4.3,0.083349486334560963,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,o0s2y45de6g,on_demand,subscribed,IN,0,unknown,3,1.075,21.5,0.17948075799315469,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,-Vy55iNWdlo,on_demand,subscribed,IN,0,unknown,1,2.735,164.1,3.2469331222793825,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,6KtL6lFl4a8,on_demand,not_subscribed,IN,10,unknown,1,0.05,3,21.428571428571427,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,F9VjrwvQqC8,on_demand,not_subscribed,IN,10,unknown,1,0.95,57,95,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ELgyy69a3bM,on_demand,subscribed,IN,10,unknown,1,0.2395,14.37,89.8125,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ng0sDjiDITc,on_demand,not_subscribed,IN,0,unknown,4,1.8633,27.9495,0.57723048327137549,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,fWbAyMPEIYY,on_demand,subscribed,IN,0,unknown,1,0.016666666666666666,1,1.7543859649122806,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,7dYhX94A32A,on_demand,not_subscribed,IN,0,unknown,1,1.15,69,1.8603397142086815,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,9FG3tPrNuQE,on_demand,subscribed,IN,0,unknown,1,0.42833333333333334,25.7,0.3394531765949016,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ZNZcnqaufJ4,on_demand,subscribed,IN,0,unknown,2,0.18333333333333332,5.5,0.087440381558028621,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,NA_-2wpSdrY,live,subscribed,IN,7,/my_subscriptions,1,0.185,11.1,0.3024523160762943,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,vSA8nTNS0II,on_demand,not_subscribed,IN,10,unknown,1,0.23333333333333334,14,87.5,0,0
