date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,sharing_service,shares
20240101,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,on_demand,subscribed,IN,49,1
date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,sharing_service,shares
20231206,UC7zbbglcdBEvi9C3W_K7DCQ,2bh5NkMaLm8,on_demand,not_subscribed,IN,49,1
20231206,UC7zbbglcdBEvi9C3W_K7DCQ,0G4v0DbCuXE,on_demand,subscribed,IN,55,1
20231206,UC7zbbglcdBEvi9C3W_K7DCQ,-W4RgHBKOJo,on_demand,subscribed,IN,55,1
date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,sharing_service,shares
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,not_subscribed,IN,49,1
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,subscribed,IN,55,1
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,subscribed,IN,55,1
date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,sharing_service,shares
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,BWX4_McBmQc,on_demand,not_subscribed,US,49,1
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,hPLbxYZPZ-s,live,subscribed,IN,55,2
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,hPLbxYZPZ-s,on_demand,subscribed,IN,49,1
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,BWX4_McBmQc,on_demand,not_subscribed,AE,55,1
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,BWX4_McBmQc,live,subscribed,IN,55,1
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,dI1c44fOIRA,live,subscribed,IN,55,1
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,OArTfsrz3M0,on_demand,subscribed,IN,55,1
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,hPLbxYZPZ-s,live,not_subscribed,IN,49,1
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,hPLbxYZPZ-s,live,subscribed,IN,49,3
20231220,UC7zbbglcdBEvi9C3W_K7DCQ,BWX4_McBmQc,on_demand,subscribed,IN,55,1
date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,sharing_service,shares
20231218,UC7zbbglcdBEvi9C3W_K7DCQ,2G7bxwztA6g,on_demand,not_subscribed,IN,49,1
20231218,UC7zbbglcdBEvi9C3W_K7DCQ,2G7bxwztA6g,live,not_subscribed,IN,49,1
20231218,UC7zbbglcdBEvi9C3W_K7DCQ,2G7bxwztA6g,live,subscribed,IN,49,3
