date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,XpGGcvIW0Jk,on_demand,subscribed,IN,0,4,104,4,1,0.27833333333333332,16.7,0.21136564991773193,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,on_demand,subscribed,IN,0,3,105,4,2,1.0833333333333333,32.5,0.47822248381400823,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,on_demand,not_subscribed,IN,7,3,101,2,1,0.17831666666666668,10.699,0.15623539719626167,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,on_demand,subscribed,IN,0,3,104,4,14,7.575,32.464285714285715,0.47769696460102579,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,Luh-jZZ8loE,on_demand,not_subscribed,IN,0,3,104,4,1,0,0,0,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,not_subscribed,IN,0,4,101,2,1,1.41335,84.801,1.3755231143552311,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,on_demand,subscribed,IN,7,3,104,4,3,1.2983333333333333,25.966666666666669,0.382087502452423,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,LxlDbgsEsaY,on_demand,not_subscribed,IN,0,4,105,5,1,1.2953333333333332,77.72,7.9144602851323826,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,E_L8abv6ymE,on_demand,not_subscribed,IN,0,5,104,4,2,1.3483333333333334,40.45,0.994101744900467,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,W3k9XmZekWc,on_demand,not_subscribed,IN,10,8,104,4,1,0.82,49.2,104.68085106382979,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,not_subscribed,IN,0,3,101,2,2,14.028133333333333,420.844,6.8263422546634223,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,MBq8uE2jMhE,on_demand,subscribed,IN,0,3,104,4,3,0.14833333333333334,2.9666666666666668,0.072269589930978484,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,W3k9XmZekWc,on_demand,not_subscribed,IN,10,4,104,4,2,0.92166666666666663,27.65,58.829787234042556,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,E_L8abv6ymE,on_demand,subscribed,IN,0,18,104,4,1,0.05,3,0.073728188744163189,1,0.05
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,MBq8uE2jMhE,on_demand,subscribed,IN,7,3,104,4,1,0.21333333333333335,12.8,0.31181485992691838,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,subscribed,IN,0,9,104,4,1,9.2216666666666658,553.3,8.9748580697485814,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,on_demand,subscribed,IN,0,17,104,4,1,0.38,22.8,0.33294392523364486,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,zEp69x1Q7M8,on_demand,not_subscribed,IN,0,8,104,4,1,0.07,4.2,0.12360211889346674,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,subscribed,IN,0,4,101,2,2,33.246966666666665,997.409,14.676412595644496,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,on_demand,not_subscribed,IN,0,4,104,4,3,2.3583333333333334,47.166666666666664,1.0592110187888315,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,Xr4-UTJt_UA,on_demand,subscribed,IN,0,4,104,4,1,1.885,113.1,11.164856860809477,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,subscribed,IN,7,3,104,5,1,0.17283333333333334,10.37,0.16820762368207623,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,J7zljAExNYs,on_demand,not_subscribed,IN,0,3,101,2,1,3.3508,201.048,24.974906832298135,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,WL03wmawFP8,on_demand,not_subscribed,IN,0,4,105,4,1,0.12166666666666667,7.3,0.14065510597302505,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,nBffL6ylOxQ,live,subscribed,IN,0,4,104,4,1,8.3,498,16.622162883845128,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,syC15Me4YEM,on_demand,subscribed,IN,0,3,104,4,2,4.765,142.95,2.8896300788356579,0,0
